Player,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,TM_NYK,OPP_ATL,OPP_BOS,OPP_BRK,OPP_CHI,OPP_CHO,OPP_CLE,OPP_DAL,OPP_DEN,OPP_DET,OPP_HOU,OPP_IND,OPP_LAL,OPP_MEM,OPP_MIA,OPP_MIL,OPP_MIN,OPP_NOP,OPP_OKC,OPP_ORL,OPP_PHI,OPP_PHO,OPP_SAC,OPP_SAS,OPP_TOR,OPP_UTA,OPP_WAS,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3,Game_Index,Year,Month,Day,DayOfWeek,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos
Jalen Brunson,37,26,3,9,2,0.0,0.524,0.0,0.55,29.8,9.1,1,0.667,131.0,95.0,21.9,31,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.1,3.1,7.7,1.2,2.5,0.4766,0.3695,0.7419,26.92,125.4,112.5,18.36,0.907238,30,2024,12,27,4,-2.4492935982947064e-16,1.0,-0.433883739117558,-0.9009688679024191
Jalen Brunson,44,55,3,9,0,0.0,0.581,0.273,0.715,40.5,11.1,3,0.941,144.0,126.0,43.9,32,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26.2,3.3,8.1,1.1,2.8,0.4597,0.3135,0.7485,28.9,118.9,113.8,20.27,1.01875,31,2024,12,28,5,-2.4492935982947064e-16,1.0,-0.9749279121818236,-0.2225209339563146
Jalen Brunson,36,18,3,6,1,0.0,0.353,0.167,0.469,24.2,-7.0,2,1.0,106.0,111.0,12.2,33,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,24.9,3.2,7.7,1.1,2.5,0.4426,0.2873,0.7818,28.22,118.2,112.4,19.2,1.20102,32,2024,12,30,0,-2.4492935982947064e-16,1.0,0.0,1.0
Jalen Brunson,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,34,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,22.9,2.8,6.6,1.1,2.2,0.3888,0.2372999999999999,0.7418,25.7,105.7,100.3,17.4,1.26029,33,2025,1,1,2,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434
Jalen Brunson,40,22,3,9,1,0.0,0.391,0.0,0.429,31.3,-2.6,3,0.667,97.0,124.0,13.5,35,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.7,2.7,6.7,1.1,2.3,0.3946,0.204,0.7418,26.67,105.4,101.3,17.55,0.977191,34,2025,1,3,4,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191
Jalen Brunson,33,33,2,8,2,0.0,0.55,0.25,0.664,30.9,11.9,1,0.909,149.0,134.0,30.6,36,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.9,2.6,7.0,1.2,2.1,0.4052,0.179,0.7541,26.44,108.0,104.7,18.41,1.11433,35,2025,1,4,5,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146
Jalen Brunson,36,24,1,4,1,0.0,0.381,0.0,0.472,35.7,-3.4,2,0.8,103.0,121.0,11.8,37,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.9,2.4,6.7,1.2,2.0,0.4075999999999999,0.139,0.7341,27.590000000000003,107.6,105.9,18.59,1.04102,36,2025,1,6,0,0.49999999999999994,0.8660254037844387,0.0,1.0
Jalen Brunson,35,13,6,7,1,0.0,0.385,0.25,0.44,19.2,-2.1,1,0.5,115.0,108.0,11.4,38,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,22.3,2.9,6.8,1.1,1.7,0.3777,0.094,0.6840999999999999,26.72,103.7,105.9,16.43,1.22429,37,2025,1,8,2,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434
Jalen Brunson,33,27,1,5,0,0.0,0.467,0.5,0.666,29.8,3.4,4,1.0,123.0,132.0,17.9,39,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.8,2.9,6.6,0.9,1.8,0.3936,0.144,0.7341,27.18,107.1,107.2,17.75,1.24098,38,2025,1,10,4,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191
Jalen Brunson,29,44,5,6,1,0.0,0.615,0.5,0.745,46.0,20.5,1,0.875,157.0,108.0,37.9,40,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.2,2.7,6.3,0.9,1.8,0.4246999999999999,0.194,0.7359,28.74,112.5,105.9,20.11,1.07464,39,2025,1,12,6,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
