Player,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,TM_UTA,OPP_ATL,OPP_BOS,OPP_BRK,OPP_CHI,OPP_CHO,OPP_CLE,OPP_DAL,OPP_DEN,OPP_DET,OPP_GSW,OPP_HOU,OPP_IND,OPP_LAC,OPP_LAL,OPP_MEM,OPP_MIA,OPP_MIL,OPP_MIN,OPP_NOP,OPP_NYK,OPP_OKC,OPP_ORL,OPP_PHI,OPP_PHO,OPP_POR,OPP_SAC,OPP_SAS,OPP_TOR,OPP_WAS,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3,Game_Index,Year,Month,Day,DayOfWeek,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos
Lauri Markkanen,42,31,5,3,0,0.0,0.533,0.556,0.799,21.7,6.6,2,1.0,154.0,125.0,23.3,31,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.5,6.3,1.4,0.5,1.5,0.3577,0.3522,0.5464,15.48,93.6,78.8,13.13,1.08825,30,2022,12,15,3,-2.4492935982947064e-16,1.0,0.43388373911755823,-0.900968867902419
Lauri Markkanen,28,18,4,2,0,0.0,0.538,0.5,0.67,22.3,3.9,0,1.0,135.0,136.0,13.9,32,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.8,5.7,1.4,0.5,1.3,0.3807,0.3772,0.575,15.320000000000002,97.5,80.3,13.69,1.3412,31,2022,12,17,5,-2.4492935982947064e-16,1.0,-0.9749279121818236,-0.2225209339563146
Lauri Markkanen,32,24,6,1,2,0.0,0.583,0.5,0.732,23.6,10.4,2,0.7,133.0,122.0,19.3,33,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,5.4,1.4,0.7,1.3,0.3722999999999999,0.3636,0.595,15.18,97.0,80.4,13.060000000000002,0.931874,32,2022,12,19,0,-2.4492935982947064e-16,1.0,0.0,1.0
Lauri Markkanen,36,38,5,1,1,0.0,0.65,0.692,0.873,26.9,15.8,1,0.75,160.0,115.0,29.8,34,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,5.0,1.3,0.8,1.3,0.3737,0.3757,0.57,16.19,95.5,80.3,14.0,1.22727,33,2022,12,20,1,-2.4492935982947064e-16,1.0,0.7818314824680298,0.6234898018587336
Lauri Markkanen,29,21,5,1,0,0.0,0.5,0.444,0.685,25.2,2.5,1,1.0,132.0,120.0,13.6,35,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.2,4.2,1.1,0.7,1.3,0.3704,0.3645,0.595,16.630000000000003,94.3,82.0,13.09,1.12474,34,2022,12,22,3,-2.4492935982947064e-16,1.0,0.43388373911755823,-0.900968867902419
Lauri Markkanen,38,32,12,1,0,2.0,0.444,0.3,0.675,24.1,8.4,0,1.0,154.0,118.0,27.9,36,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,18.3,4.8,1.0,0.4,0.8,0.3748,0.3278,0.595,16.69,98.1,82.6,14.169999999999998,1.2427,35,2022,12,26,0,-2.4492935982947064e-16,1.0,0.0,1.0
Lauri Markkanen,36,29,16,1,1,0.0,0.455,0.538,0.622,29.7,9.8,2,0.667,111.0,105.0,22.1,37,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.2,6.4,1.1,0.5,1.0,0.4203,0.3816,0.6617,19.660000000000004,109.2,93.1,16.380000000000003,0.953354,36,2022,12,28,2,-2.4492935982947064e-16,1.0,0.9749279121818236,-0.22252093395631434
Lauri Markkanen,34,36,5,0,0,0.0,0.667,0.143,0.711,33.3,4.0,1,1.0,133.0,128.0,26.5,38,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,24.8,6.9,1.1,0.5,1.1,0.487,0.3959,0.7617,22.99,122.5,105.9,19.03,1.23273,37,2022,12,30,4,-2.4492935982947064e-16,1.0,-0.433883739117558,-0.9009688679024191
Lauri Markkanen,36,29,14,0,1,0.0,0.467,0.429,0.715,24.4,6.8,1,1.0,159.0,124.0,26.7,39,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.7,8.3,1.1,0.6,1.2,0.5337000000000001,0.4387999999999999,0.8616999999999999,25.43,138.4,118.3,21.7,1.19981,38,2022,12,31,5,-2.4492935982947064e-16,1.0,-0.9749279121818236,-0.2225209339563146
Lauri Markkanen,36,28,8,1,0,0.0,0.4,0.143,0.648,26.9,1.9,2,1.0,131.0,118.0,20.2,40,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.6,8.0,1.1,0.5,1.2,0.5237,0.4245,0.9117,25.809999999999995,140.2,121.1,22.33,1.13721,39,2023,1,3,1,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336
