Player,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,TM_BRK,TM_PHO,OPP_ATL,OPP_BOS,OPP_CHI,OPP_CHO,OPP_CLE,OPP_DAL,OPP_DEN,OPP_DET,OPP_GSW,OPP_IND,OPP_LAC,OPP_LAL,OPP_MEM,OPP_MIA,OPP_MIL,OPP_MIN,OPP_NOP,OPP_NYK,OPP_OKC,OPP_ORL,OPP_PHI,OPP_PHO,OPP_POR,OPP_SAC,OPP_SAS,OPP_TOR,OPP_UTA,OPP_WAS,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3,Game_Index,Year,Month,Day,DayOfWeek,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos
Kevin Durant,36,43,6,2,1,2.0,0.636,0.6,0.776,43.1,5.9,6,0.923,125.0,123.0,31.6,31,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.6,6.0,4.5,0.8,3.8,0.5726,0.392,0.8555999999999999,29.309999999999995,115.1,99.9,23.83,1.17026,30,2022,12,18,6,-2.4492935982947064e-16,1.0,-0.7818314824680299,0.6234898018587334
Kevin Durant,29,23,7,5,4,0.0,0.529,0.333,0.613,32.6,1.1,2,1.0,118.0,99.0,21.5,32,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.4,6.0,4.5,1.0,3.4,0.5463,0.3653,0.8555999999999999,28.78,112.8,99.6,22.22,1.34437,31,2022,12,21,2,-2.4492935982947064e-16,1.0,0.9749279121818236,-0.22252093395631434
Kevin Durant,34,24,5,6,1,1.0,0.529,0.333,0.64,28.1,6.5,3,1.0,121.0,105.0,19.3,33,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.9,6.0,4.6,1.1,3.6,0.5342,0.3319,0.8555999999999999,28.37,109.5,99.0,20.82,1.13574,32,2022,12,23,4,-2.4492935982947064e-16,1.0,-0.433883739117558,-0.9009688679024191
Kevin Durant,36,32,9,5,0,0.0,0.556,0.625,0.743,32.2,4.7,4,0.875,134.0,125.0,23.2,34,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.4,6.0,4.4,1.1,3.8,0.5298,0.3944,0.8597999999999999,29.89,109.7,101.1,21.24,1.18118,33,2022,12,26,0,-2.4492935982947064e-16,1.0,0.0,1.0
Kevin Durant,36,26,16,8,0,2.0,0.471,0.25,0.62,32.1,8.4,4,1.0,118.0,104.0,24.3,35,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.9,6.9,4.7,0.9,3.4,0.5227,0.3994,0.8798,29.26,112.1,101.2,21.67,1.20787,34,2022,12,28,2,-2.4492935982947064e-16,1.0,0.9749279121818236,-0.22252093395631434
Kevin Durant,30,23,5,4,0,0.0,0.6,0.167,0.686,31.1,-0.5,3,1.0,119.0,111.0,16.2,36,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.3,6.5,4.3,0.9,3.4,0.5195000000000001,0.3761,0.8798,29.39,111.0,100.3,20.79,1.05731,35,2022,12,31,5,-2.4492935982947064e-16,1.0,-0.9749279121818236,-0.2225209339563146
Kevin Durant,29,25,3,11,3,1.0,0.714,0.0,0.772,27.3,19.1,2,1.0,155.0,95.0,29.1,37,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.4,6.4,5.0,1.1,3.2,0.5349,0.3475,0.8798,28.52,115.0,98.4,21.25,1.30452,36,2023,1,2,0,0.49999999999999994,0.8660254037844387,0.0,1.0
Kevin Durant,38,44,4,5,1,2.0,0.682,0.5,0.847,32.8,20.3,3,1.0,149.0,119.0,37.9,38,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.8,6.8,5.5,1.2,3.5,0.6031000000000001,0.3975,0.9798,31.8,129.9,110.3,25.04,1.30322,37,2023,1,4,2,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434
Kevin Durant,38,33,10,3,0,2.0,0.346,0.571,0.535,41.7,1.4,4,1.0,103.0,107.0,20.9,39,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.1,6.9,5.2,1.1,3.6,0.573,0.4046,0.9798,33.02,126.6,111.2,24.36,1.06312,38,2023,1,6,4,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191
Kevin Durant,30,17,5,2,1,0.0,0.455,0.333,0.604,29.2,-3.5,4,0.857,102.0,114.0,10.8,40,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,7.0,5.1,1.1,3.5,0.5518,0.3712,0.9655,33.02,124.4,110.2,23.48,0.957129,39,2023,1,8,6,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
