Player,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,TS%,USG%,BPM,TOV,FT%,ORTG,DRTG,GmSc,Game_Num,Home,Injured/Rest,TM_CLE,OPP_ATL,OPP_BOS,OPP_BRK,OPP_CHI,OPP_CHO,OPP_DAL,OPP_DEN,OPP_DET,OPP_GSW,OPP_HOU,OPP_IND,OPP_LAL,OPP_MEM,OPP_MIA,OPP_MIL,OPP_MIN,OPP_NOP,OPP_NYK,OPP_OKC,OPP_ORL,OPP_PHI,OPP_PHO,OPP_TOR,OPP_UTA,OPP_WAS,PTS_rolling_avg,TRB_rolling_avg,AST_rolling_avg,STL_rolling_avg,TOV_rolling_avg,FG%_rolling_avg,3P%_rolling_avg,FT%_rolling_avg,USG%_rolling_avg,ORTG_rolling_avg,DRTG_rolling_avg,GmSc_rolling_avg,oppDfRtg_3,Game_Index,Year,Month,Day,DayOfWeek,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos
Donovan Mitchell,30,33,5,6,1,0.0,0.588,0.5,0.822,31.3,9.7,3,1.0,150.0,132.0,28.8,31,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.6,4.2,6.1,1.8,2.2,0.4582,0.4293,0.7467,27.48,122.1,107.3,17.73,1.17146,30,2024,12,27,4,-2.4492935982947064e-16,1.0,-0.433883739117558,-0.9009688679024191
Donovan Mitchell,27,23,3,4,0,0.0,0.474,0.455,0.605,30.2,9.4,1,0.0,120.0,99.0,16.0,32,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,4.0,5.8,1.5,2.2,0.4655999999999999,0.4248,0.6467,27.82,121.9,109.2,17.48,1.03207,31,2024,12,30,0,-2.4492935982947064e-16,1.0,0.0,1.0
Donovan Mitchell,32,26,4,4,0,0.0,0.4,0.462,0.586,33.7,1.8,3,0.8,110.0,116.0,16.2,33,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.8,4.1,5.6,1.3,2.0,0.4598,0.411,0.7267,27.61,122.7,110.7,17.31,1.20912,32,2024,12,31,1,-2.4492935982947064e-16,1.0,0.7818314824680298,0.6234898018587336
Donovan Mitchell,27,15,0,6,2,0.0,0.455,0.286,0.609,22.4,2.2,2,1.0,121.0,122.0,13.1,34,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.5,3.3,5.4,1.5,1.9,0.4553,0.3896,0.7767000000000001,27.87,121.7,111.4,17.0,1.06525,33,2025,1,3,4,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191
Donovan Mitchell,29,19,3,4,0,0.0,0.5,0.429,0.594,25.1,2.4,1,0.0,117.0,112.0,12.9,35,1,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.2,3.5,5.3,1.3,1.7,0.474,0.4125,0.6767000000000001,27.44,126.0,110.1,17.77,0.9635,34,2025,1,5,6,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
Donovan Mitchell,35,11,6,4,0,0.0,0.188,0.286,0.31,21.9,-12.4,1,0.75,85.0,125.0,3.0,36,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21.3,3.5,5.1,1.2,1.7,0.4538999999999999,0.4046999999999999,0.6849999999999999,27.25,123.1,111.9,16.53,0.917363,35,2025,1,8,2,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434
Donovan Mitchell,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,37,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,19.5,3.2,4.6,0.8,1.6,0.411,0.3747,0.61,24.860000000000003,110.3,102.2,14.85,1.16895,36,2025,1,9,3,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419
Donovan Mitchell,31,19,3,1,2,0.0,0.412,0.429,0.531,31.3,0.6,3,1.0,90.0,108.0,10.5,38,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.7,3.1,4.1,0.8,1.9,0.3922,0.3747,0.635,25.15,103.5,103.5,13.27,0.968718,37,2025,1,12,6,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
Donovan Mitchell,31,35,9,3,2,0.0,0.522,0.333,0.66,37.2,9.9,2,1.0,137.0,111.0,28.1,39,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.3,3.6,3.9,1.0,1.7,0.4006,0.368,0.635,25.660000000000004,106.6,103.8,14.95,0.920336,38,2025,1,14,1,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336
Donovan Mitchell,21,8,2,2,1,0.0,0.2,0.25,0.252,30.6,-13.2,0,0.5,65.0,125.0,1.3,40,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.9,3.5,3.4,0.8,1.6,0.3739,0.3429999999999999,0.605,26.37,99.5,105.0,12.99,1.00965,39,2025,1,16,3,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419
